body,title
"
Texto: Gabriel Sánchez Pozos
Diseño web: Miguel Ángel Garnica
Son los años 90 y tras comprar las tortillas te sobraron cinco pesos. La comida todavía no estaba lista, así que había tiempo de adentrarse en una aventura convertido en una tortuga mutante o un karateca para acabar con algunos rivales. Bastaba con ir a las maquinitas de la esquina, insertar una moneda y sumergirse en un mundo nuevo. Tras varias horas, mamá estaría enojada y las tortillas frías.
Así se jugaba videojuegos en los últimos años del siglo pasado. En ese entonces era difícil que los niños tuvieran una consola propia, así que salían a las maquinitas, también conocidas como arcades, con unos centavos en la bolsa para controlar autos, fantasmas o luchadores con tan sólo una palanca y algunos botones en la mesa.

Compara el antes y después deslizando la barra central
(desliza aquí para ver más grande)
 


Las maquinitas, cajones de madera verticales, con una pantalla y controles de mando en el frente, al principio estaban pintadas y adornadas con imágenes y colores de un juego en especial. Aunque existieron locales exclusivos para videojuegos –que adquirieron el mismo nombre que el aparato- se llegaron a colocar artefactos en farmacias, tiendas, papelerías y hasta restaurantes.
En enero del 2001, este diario refería que en la Ciudad de México existían 2 mil 178 locales de las llamadas “maquinitas”, en las que se exhibían más de 9 mil videojuegos; la delegación que contaba con más establecimientos era la Gustavo A. Madero con mil 778; y la que menos tenía era Tláhuac con apenas 73.
Actualmente según el Directorio Estadístico Nacional de Unidades Económicas del INEGI, hay tan sólo 291 locales de “maquinitas” en toda la capital del país. De las ahora llamadas alcaldías, la que cuenta con el mayor número de estos locales es Iztapalapa con 73; por su parte, Azcapotzalco y Benito Juárez son las que cuentan con menos, al albergar sólo dos cada una. 
En la plaza de Garibaldi, una lona verde con la leyenda “Videojuegos Gary”, indica la presencia de un puesto sobreviviente de maquinitas. Adolfo Colin Morales, junto con su familia, se hace cargo del lugar desde hace 20 años.
Adolfo Colin, junto a su esposa Elizabeth y su hijo Cristobal, se hace cargo de su local “Videojuegos Gary” en Garibaldi. Foto: Gabriel Sánchez Pozos /Cortesía.

Detrás de la cortina negra que protege al puesto, hay una muestra de la evolución del negocio: hasta enfrente está la única maquina arcade por ser la más famosa, en ella se puede jugar Street Fighter; un videojuego de lucha creado por  la empresa japonesa Capcom,  que revolucionó a los de su estilo.
También hay consolas adaptadas con su respectivo televisor; máquinas tragamonedas, un hockey de mesa, un futbolito, un aparato para hacer canastas de basquetbol y una mesa de billar.
Sentado en una silla de plástico detrás del hockey de mesa, Adolfo Colin señala que su incursión en el mundo digital no fue con la apertura de su local. Tras haber estudiado una carrera técnica en electrónica, encontró trabajo en una “pequeña empresa” dedicada a adaptar consolas de videojuegos para poder hacer “maquinitas”.
Adolfo, en entrevista para este diario indica que en su trabajo se adaptaban consolas como la súper Nintendo a su respectivo cajón de madera, acompañada de palancas muy rústicas y un televisor al que se debía poner en el canal tres.
Además, a la consola se le añadía un chip para que al momento de que el jugador insertara una moneda en la máquina, se habilitaran los controles; pero Adolfo señala que al ser aparatos hechos para casa, este circuito sólo hacía que el jugador tuviera un tiempo límite de juego, así que al acabarse los minutos disponibles, se tenía que reiniciar el artefacto.
José Francisco Cirigo, licenciado en Ciencias de la Comunicación por la UNAM, refiere que él fue un ávido visitante de las maquinitas pues fines de semana jugaba hasta 10 horas. También recuerda que por partida sonaba una alarma cada cinco minutos para ingresar una moneda y seguir jugando. No había sistema de “continúes” y cada turno costaba cincuenta centavos.

Un policía se entretiene en jugando con las ""maquinitas"" en noviembre de 1992. Archivo/EL UNIVERSAL.
Por su parte, Adolfo estuvo involucrado algunos años sólo en la parte técnica, hasta que el negocio del armado y venta de maquinitas, se volvió más atractivo. Elizabeth Gómez, pareja de Colin, señala que junto con su esposo, aprendió del negocio de construcción, del cual existieron 10 empresas fuertes.
Ambos refieren que llegaron a construir y consignar – poner en renta- hasta 50 maquinitas en distintos locales. De cada una, ellos como dueños se quedaban con el 70 por ciento de lo recolectado, que podían ser hasta 4 mil pesos por artefacto; por ello, los locatarios decidían comprar el aparato para quedarse toda la ganancia, pero tenían problemas al dar mantenimiento al juego.
Con este auge en las maquinitas, las innovaciones fueron llegando y Adolfo menciona que las consolas para casa dejaron de ser intervenidas: ahora se compraban placas importadas, que nunca pagaron impuestos. Estos circuitos solo tenían un juego precargado.
El doctor en Ciencias Políticas y Sociales, David Cuenca Orozco señala que las maquinitas son un ejemplo de un proceso económico: en los noventa, con la instauración del Tratado de Libre Comercio, se comercializó la industria del entretenimiento y llegó a México de diferentes formas, como el mercado gris, producto original y no legal, y del mercado negro, cuya oferta era pirata.
Las máquinas de videojuegos se encontraban en las tiendas y farmacias en noviembre de 1991. Foto: Mario Juárez, Archivo/EL UNIVERSAL. 

Elizabeth señala que era muy complicado ver una maquinita original por su elevado precio. Al respecto, Yoshiki Okamoto, dearrollador de la empresa japonesa Capcom, mencionó que la firma jamás vendió una sola copia de Street Figther II  -uno de los títulos más famosos en el arcade- a México, pero sabía que existían más de 200 mil copias ilegales en el país.
Elizabeth recuerda que a principios del siglo XX el lugar lucía diferente: ambas partes del local estaban abiertas, había una fuente de sodas en las que se vendían golosinas y las maquinitas llenaban el lugar. Las puertas se abrían a las 12 de la tarde y cerraban a las tres de la mañana.
“Nuestros mejores clientes siempre fueron niños” recuerda Adolfo y comparte que eran los varones los que se adueñaban de los videojuegos y las niñas o sólo observaban o preferían ir a la rockola de música y bailar. También considera que alguno de los jugadores llegó a ser adicto a las maquinitas.
Una plana de EL UNIVERSAL de febrero del 2000, señalaba que  las maquinitas “crean el deseo de manejar el juego y prolongar la lucha a través de la repetición y el deleite”; incluso que se alcanzaban el aspecto adictivo de una droga: no había forma de parar.
Francisco Cirigo considera necesario señalar que en el tiempo que visitaba las maquinitas, ya que ahora tiene videojuegos en casa,  estos locales fueron “nidos” de adictos a alguna droga o alcohólicos y los niños tenían que soportar estas condiciones para poder entretenerse.
Un pequeño vendedor de globos juega frente a una máquina de videojuegos en abril de 1994. Foto: Alfonso Manzano, Archivo de EL UNIVERSAL. 
Sobre este tema, el catedrático en la Facultad de Ciencias Políticas y Sociales Cuenca Orozco, confiesa que los videojuegos sí pueden ser adictivos pues incluso él, también como jugador, dejó de ir a la escuela por jugar, pero señala que aprendió a través de ellos al querer transcribir y entender lo que pasaba en la entrama, pues los juegos no estaban en español.
Sin embargo, el jugador era atraído por ser capaz controlar lo que pasaba en la pantalla, algo que no se podía hacer con sólo ver la televisión. Asimismo, señala Orozco, que aunque la connotación del videojuego puede llegar a ser negativa, hoy está inmerso en muchos campos sociales pues su función ya es educativa, social, histórica y no solo de entretenimiento.
“El jugador, por no dejar capital en su actividad, era visto como un parásito social, pero la industria generó una especie de “sublimidad digital” en la que las tecnologías de punta, en este caso los videojuegos, eran vendidos como el futuro, como algo benéfico para la sociedad”, opina el catedrático.
Adolfo recuerda que una vez un par de niños llegaron a su local con tortillas en la mano y con algunas monedas comenzaron a jugar. Tras varios minutos frente a la pantalla, no notaron que su padre había llegado y éste, aprovechando la distracción, se quitó el cinturón y azotó a sus hijos. Se los llevó llorando.
Ahora su local tiene la mitad de espacio disponible porque la otra está en renta. Incluso con la extensión libre, el lugar tiene hasta atrás maquinitas que han dejado de funcionar. La hora de apertura es a las cuatro de la tarde y el cierre a a las 11 de la noche. Además, por la renta del lugar, paga 10 mil pesos al mes.
Una maquinita del videojuego Street Figther es la única sobreviviente del arcade en el local de Adolfo Colin. Foto: Gabriel Sánchez Pozos /Cortesía.
Cristobal Colin, hijo de la pareja, se une a la plática y refiere que una de las últimas adaptaciones de las maquinitas, ya en siglo XXI, fue que una sola consola pudiera almacenar muchos videojuegos y con ello se estandarizó el modelo del gabinete.
Sin embargo, el esfuerzo no fue suficiente porque consolas como Xbox y PlayStation abarataron el mercado y ya se podía jugar desde casa. Entonces el negocio comenzó su declive, aunque Adolfo adaptó estos aparatos a su local al ponerles un chip para que leyeran juegos no originales y la gente pagara 30 pesos por usarlos una hora. 
Además, la autoridad comenzó a poner restricciones: número limitado de maquinitas, no colocar estos aparatos a menos de 300 metros de una escuela y colocar una clasificación de videjuegos -De la “A”, apto para todos; a la “D” mayores de 17 años- que aunque existe en una lona del establecimiento de Adolfo, este señala que nunca se siguió del todo.
Un padre de familia amante del título Halo, un videojuego que sólo puede jugarse en las consolas Xbox durante 2010. Foto:  Archivo de EL UNIVERSAL. 

Aunque se les aconsejó optar por videojuegos en línea, en los que no había dinero, si no crédito, tanto Adolfo como Elizabeth dijeron que la apuesta son máquinas tragamonedas, como las que hay en las tienditas de una luz que gira a través de imágenes de fruta y tú como jugador debes apostar al lugar en el que parará para ganar dinero.
“En el pasado quedaron los legendarios Mortal Kombat y The King of Fighters”, menciona Cirigo. Él como jugador considera que el refinamiento de títulos deportivos como FIFA o la aparición de shooters –juego de disparos- como Halo “pusieron su clavo en el ataúd de los arcades”.
Hoy formar una moneda en la pantalla de los gabinetes para retar a un oponente, es una leyenda; también la frustración de fallar y perder el dinero. “Tal vez en un futuro cercano haya un empuje retro que haga a las nuevas generaciones voltear a juegos como Mortal Kombat –un juego de peleas-, pero sin duda la mejor época de las maquinitas ya pasó” confiesa Francisco Cirigo.
La imagen principal es del archivo de EL UNIVERSAL que ilustra a un niño que vendía estropajos mientras esperaba su turno para jugar a las maquinitas en enero de 1992.

Fuentes:
Archivo EL UNIVERSALhttps://bit.ly/2ufB2FN
Entrevistas: Adolfo Colin Morales, Elizabeth Gómez Gil y Cristóbal Colin Gomez dueños de “Videojuegos Gary”
David Cuenca Orozco, Doctor en Ciencias Políticas y Sociales por la UNAM
José Francisco Cirigo licenciado en Ciencias de la Comunicación por la UNAM
 
",Las olvidadas maquinitas de los noventa
"
La granada puede ayudar a mejorar la erección masculina, según señala el estudio “Eficacia y seguridad del jugo de granada en la mejora de la disfunción eréctil en pacientes masculinos con disfunción eréctil leve a moderada”.

De acuerdo con la investigación, después de dividir a los participantes, y dar placebo a un grupo y jugo de granada a otro, los hombres que tomaron el jugo tuvieron menos problemas para lograr una erección que quienes no lo tomaron. 

Por otro lado, otro estudio realizado por la Facultad de Medicina Veterinaria de la Universidad de Firat en Turquía, encontró que la granda no sólo mejora la erección masculina sino que tiene efectos positivos sobre el esperma. 

Según señala la investigación, la cual fue realizada en ratas, tras administrar agua destilada con concentraciones de extracto de jugo de granada las ratas mostraron un incremento de la concentración y calidad de su esperma, además de mejorar la movilidad de los espermatozoides.

Para poder demostrar este beneficio antes de administrar el extracto de granada se realizó una medición “de los pesos corporales, de los órganos reproductores, de la densidad celular espermatogénica, de las características de los espermatozoides, de los niveles de vitaminas antioxidantes, de los niveles de  testosterona y de las actividades de las enzimas antioxidantes”. 

El efecto fue asociado a un incremento en los niveles de antioxidantes en el organismo de los roedores. De acuerdo con los científicos, la granada aporta una gran cantidad de antioxidantes y estos pueden tener un efecto positivo en la salud reproductiva.  

Además de esta propiedad a la granada se le atribuyen muchos otros beneficios, entre los que se encuentran protección a la salud cardiovascular, prevenir la aparición de la diabetes, brindar un efecto antimicrobiano, prevenir el fotoenvejecimiento, entre muchos otros. 

Estas propiedades de le atribuyen a la gran cantidad y variedad de los antioxidantes presentes en la granada los cuales son muy superiores a los de muchos de los alimentos 


 
",
"

A tres meses de que entre en vigor la legislación para que los bancos apliquen controles biométricos en sus sucursales a fin de verificar la identidad de sus clientes, las principales instituciones financieras muestran avances con la instalación de lectores de huellas dactilares y, en otros casos, ya aplican controles de voz e incluso lectores de rostro a través de sus aplicaciones móviles.

En marzo próximo vence el plazo fijado por la Comisión Nacional Bancaria y de Valores (CNBV) para que los bancos en México operen con este tipo de tecnología, con el fin de reducir el fraude de suplantación de identidad, que al primer semestre de 2019 tuvo 45 mil 539 quejas en operaciones bancarias, con un total de 627 millones 645 mil pesos reclamado por los clientes afectados, de acuerdo con la Comisión Nacional para la Protección y Defensa de los Usuarios de los Servicios Financieros (Condusef).

Consultadas por EL UNIVERSAL, las firmas financieras que concentran el negocio bancario dieron a conocer algunos de los avances que registran en sus sucursales.

En un principio se busca que a partir de obtener al menos seis huellas dactilares de sus clientes, los bancos puedan cotejarlas con la base de datos del Instituto Nacional Electoral (INE) para garantizar la identidad de sus usuarios y disminuir el riesgo de fraudes.
 Te puede interesar: La 4T quiere datos biométricos de todos los mexicanos

Se espera que esta semana Santander México haga un anuncio sobre la aplicación de controles biométricos; en tanto, Banorte continúa con el proceso para cumplir con la legislación.



BBVA realiza algunos controles biométricos en sus sucursales y, en contraste, se espera que las instituciones medianas lleguen presionadas al plazo establecido.

Banco Azteca es pionero en la materia y lleva años con este tipo de tecnología en sus operaciones.

Banregio informó que comenzaron las pruebas de biometría dactilar a principios del segundo trimestre de 2019 y actualmente opera en toda su red en México.

“Por el momento, únicamente operamos con el control biométrico dactilar. Será en febrero que comencemos con reconocimiento facial para abrir cuentas. No descartamos que continuemos sumando otro tipo de biometrías que optimicen los sistemas de seguridad”, detalló.

CitiBanamex está desarrollando un modelo integral de operación por canal para asegurar el cumplimiento de los lineamientos de suplantación de identidad que solicita la circular única bancaria, “tenemos planeado comenzar a operar a partir de marzo”, expuso la institución.

Detalló que desde 2016 cuenta con lectores de huellas dactilares para la captura de datos biométricos de sus clientes en sucursal y su validación con la base de datos del INE. En tanto, para este año prevé instalar otro tipo de tecnología.

“Los planes del banco para 2020 en términos de validación de identidad, además de controles con huella dactilar, incluyen la implementación productiva de reconocimiento facial”, precisó CitiBanamex.
 Te puede interesar: Inai recomienda ser cuidadosos con el uso de datos biométricos

HSBC dijo que además de biometría de huellas en sucursales, implementó la de voz para el centro de contacto a clientes desde 2017. Su aplicación móvil ya funciona con reconocimiento de huella digital y facial desde el teléfono.

“Empezamos a aplicarlos desde noviembre de forma gradual en nuestras sucursales para cumplir en tiempo y forma con la regulación. HSBC México tendrá habilitados estos controles en toda su red de sucursales en la fecha indicada”, comentó el banco.

“No vulnera datos”

Desde 2019 un mayor número de firmas comenzó a conectarse con la base de datos del INE, que ha dejado en claro que no representa riesgos sobre la información de las personas.

De acuerdo con el instituto, a través de este servicio de verificación de datos se puede confrontar en línea, con un tiempo de espera que va de cinco a siete segundos, si la persona que se presenta ante una institución financiera para contratar un crédito o abrir una cuenta identificándose con la credencial para votar es la misma que realizó el trámite ante el INE y así contribuir a la prevención de fraudes.

 
",Así usarán bancos los datos biométricos para verificar la identidad
"
Este viernes un niño de 11 años, alumno del prestigiado Colegio Cervantes de Torreón, Coahuila, inició una balacera en la que se suicidó luego de disparar contra una maestra, quien falleció en el lugar.  Dejó además seis personas heridas.
El ataque fue ejecutado bajo la influencia de un videojuego, según autoridades locales. Sin embargo, la playera que portaba, con la leyenda ""Natural Selection"" además de hacer una referencia al videojuego también es la frase que el asesino de Columbine portaba en 1999.
También lee: Niño que disparó en colegio de Torreón vivía con su abuelita: alcalde  
El niño de sexto año de primaria vivía con su abuela y tenía ""muy buenas calificaciones"" y ""un comportamiento normal aparentemente"", aseguró el alcalde de Torreón, Jorge Zermeño.
El menor había ido al colegio con dos armas cortas, una calibre 22 y otra calibre 40, las cuales escondió en su mochila.
También lee: Colegio de Torreón rechazó operativo ""Mochila segura"" en octubre: gobernador 
Mira aquí una reconstrucción, minuto por minuto de los hechos, según EL UNIVERSAL ha podido saber de las autoridades

Te puede interesar: La frase ""Natural Selection"" y los neonazis
Si no puedes ver correctamente la infografía en tu navegador, aquí te la presentamos:

 ",Reconstrucción por minuto del tiroteo en Colegio Cervantes de Torreón. Infografía
"
CDMX.- La Presidencia de la República dará cumplimiento a la resolución del Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales (INAI) en la que ordena dar a conocer las causas de la renuncia del ministro Eduardo Medina Mora.
Durante la conferencia matutina de este lunes, el presidente Andrés Manuel López Obrador afirmó que, de no violentar el debido proceso, este martes dará a conocer las “causas graves” por las que el ministro de la Suprema Corte de Justicia de la Nación (SCJN), Eduardo Medina Mora presentó su renuncia en octubre de 2019.
“Se va a dar a conocer todo. Debemos cuidar la parte legal pero si no hay ningún impedimento legal, se hace público”, indicó.
EL UNIVERSAL informó que durante la sesión del 18 de diciembre pasado el INAI emitió una resolución en la que ordenó a la Presidencia de la República entregar a un ciudadano una versión pública de la carta de renuncia de Medina Mora o cualquier documento en el que se establezcan las causas por las que dimitió al cargo de ministro.
Lea también: Ordenan a AMLO informar causas de la renuncia de Medina Mora
La resolución derivó de un recurso de revisión presentado por el ciudadano que había solicitado la información vía transparencia a la Presidencia y dicha instancia, al igual que el Senado de la República, alegó que la información es inexistente.
El presidente López Obrador afirmó que su intención es hacer pública la respuesta que dará al peticionario pues, aseguró, que su administración no es “tapadera” de nadie.
“Nosotros queremos hacerla pública, no tapar nada (...), mañana la damos a conocer, no somos tapadera”, señaló.
“Que no parezca que nosotros estamos ocultando, transparencia completa”.
Lea también: Dos párrafos, la carta de renuncia que Medina Mora envió a AMLO
En su resolución, el INAI señaló que existen datos suficientes para concluir que López Obrador y Medina Mora se reunieron previo a que este presentara su renuncia a la Corte, por lo que en términos de lo dispuesto por la Constitución, la Presidencia de la República está obligada a conocer las razones que tuvo el ministro para dimitir.

 
",AMLO dará a conocer mañana las “causas graves” de la renuncia de Medina Mora
"



    googletag.cmd.push(function() {
      googletag.display(""dfp-ad-top3_content"");
    });
  


Fernando Carrillo festejó a lo grande sus 50 años, pero en redes sociales le llamaron mentiroso, pues varios sitios aseguraron que cumplió 54 años.
Ya el actor dijo que mienten sobre su edad, pues nació el 6 de enero de 1970.
En Wikipedia aparece su fecha de nacimiento con el año 1966, que además cuadra más por su trayectoria.
El actor se dio a conocer en México en 1997 en María Isabel con Adela Noriega, quien tiene 50 años de edad. 
Carrillo no lucía menor que ella, por lo cual no todos le creen que tenga 50.
Otra dato que hace dudar es que comenzó su carrera en 1986 en Venezuela, con la telenovela La dama de Rosa.
En YouTube hay videos de su actuación en telenovelas y para nada luce de 16 años en su debut.

Escándalos de Fernando Carrillo
Otro punto para no creer que tiene 50 años, es que el actor ya es más un personaje.
Comenzó en Instagram a mostrarse sin ropa, o en fotos sugerentes.
Luego parecía que buscaba dar declaraciones polémicas para que hablaran de él.
La más reciente tiene que ver con que narró que fumó 5-MeO-DMT, mejor conocida como 'sapo'.
Se asoció con un amigo médico alternativo en Tulum para ofrecerla al público. 
Los Institutos Nacionales de Salud de EEUU lo definen como una sustancia psicoactiva que se encuentra en altas concentraciones en el veneno de un sapo de río.
Las críticas fueron muchas por recomendar esta sustancia.
En lo que a su carrera se refiere, en televisión participó en 2018 en Sin miedo a la verdad.
Sus telenovelas más exitosas son María Isabel y Rosalinda.
Un escándalo más es que sigue en problemas para ingresar a Estados Unidos y poder acudir a la corte donde se somete a juicio la debida manutención de su hijo.
TE PUEDE INTERESAR
Fernando Carrillo, ¿usa a Adela Noriega?
Hijo de Adela Noriega, el gran misterio
 
",La verdad de la edad de Fernando Carrillo
"
El Congreso del Estado erogó en el mes de diciembre del 2019 la cantidad de dos millones 612 mil 664.32 pesos por concepto de finiquitos a personal; adquirió además laptops para congresistas y personal del Poder Legislativo por 391 mil 938.48 millones de pesos.

Entre los cheques autorizados por el Poder Legislativo aparece el pago de 780 mil 452.08 pesos a Francisco Salas González, por el pago del laudo 685/2018; aparece un cheque por la cantidad de 644 mil 255.12 pesos como finiquito al personal de contrato por tiempo determinado; y el pago de 612 mil 222.97 pesos a Martha Elva Zúñiga Barragán, ahora exoficial mayor del Congreso del Estado.



Destaca también el pago a la empresa Crece Infraestructura y Servicios S.A de C.V por la cantidad de 391 mil 938.48 pesos, para la compra de laptops para diputados, diputadas y personal de Poder Legislativo.

Una vez más aparece en este listado de cheques un pago por 242 mil 784.00 de pesos, a la empresa Efectivales S. de R.L de S.V, por concepto de Servicio de Monitoreo de la Coordinación de Comunicación Social en los meses de julio a diciembre del 2019.

Este concepto, de compra de vales, había aparecido antes al inicio de la presente legislatura y el concepto fue observado por el Consejo de Transparencia del Poder Legislativo, dado que en ese momento la Coordinación de Comunicación no otorgó información sobre los beneficiarios, además de que en la normativa del Poder Legislativo, no se establece el pago con vales de los convenios de publicidad que realiza la institución con medios de comunicación.

Ahora aunque cambia el concepto, destaca el “pago” por medio de vales.

Cabe destacar que desde el mes de octubre del 2019 el listado de cheques puede ser consultado en las fechas que establece la ley (10 días después de concluir el mes de reporte), a través de la página de la Comisión Estatal de Garantía de Acceso a la Información Pública (Cegaip) y no en el portal de transparencia del Poder Legislativo.

El listado de cheques completo se puede consultar aquí: http://www.cegaipslp.org.mx/webcegaip2019.nsf/nombre_de_la_vista/507C996...$File/LTAIPSLP84IVB+DICIEMBRE+2019.xlsx?OpenElement
",Poder Legislativo pagó en diciembre más de 2 mdp en finiquitos
"

Torreón.— A las 9:00 de la mañana, en la funeraria Gayosso de esta ciudad, un grupo pequeño de familiares y amigos de José Ángel, el niño de 11 años que abrió fuego el viernes en el Colegio Cervantes, donde mató a su maestra e hirió a seis personas antes de suicidarse, participaba de una misa para darle el adiós.

A varios kilómetros, en el centro de Gómez Palacio, Durango, en la funeraria Serna, decenas de familias, amigos, alumnos y exalumnos despedían con una ceremonia evangélica a la maestra María Assaf Medina, de 50 años, a quien muchos recordarán como una heroína.

En Torreón, la misa de cuerpo presente de José Ángel estuvo restringida. La mañana era fresca, y personal de la funeraria y asistentes impedían el acceso a la capilla donde se despedía al estudiante de sexto año de primaria. Allí, un sacerdote habló de la necesidad de hallar paz.

En Gómez Palacio, los asistentes al acto religioso de la profesora fueron tantos, que muchos tuvieron que quedarse en los patios del recinto.
 Te puede interesar: Lo que sabemos sobre el tiroteo en primaria de Torreón que dejó dos muertos

Con el cuerpo presente también de la maestra, un pastor invitó a la gente a recordarla con mucho cariño y por su gran sonrisa.
 Familiares despidieron con una misa a José Ángel, posteriormente el cortejo fúnebre partió hacia el cementerio Jardines del Parque.
 

En ambos casos, el dolor privaba. En los dos el dolor se fundía en abrazos y llanto; más desgarrador, en el caso del pequeño José Ángel. Únicamente cuando fue sacado el féretro para llevarlo al panteón Jardines del Parque, se pudo ver a la familia y amigos, quienes se abrazaban y lamentaban la pérdida.

En el funeral de Gómez Palacio, en algún momento todos los presentes le rindieron un aplauso a miss Mary, la maestra de inglés, calificada y descrita por amigos, padres de familia y exalumnos como una gran persona, siempre muy alegre.

Cerca de las 10:00 de la mañana partió el cortejo fúnebre del menor. “Dios te bendiga, mi niño”, “Te vamos a extrañar, mi niño”, se leía en los mensajes de algunas coronas mortuorias. Ocho automóviles acompañaron el cortejo hasta el cementerio Jardines del Parque, donde la familia depositó los restos del pequeño. La gaveta estaba rodeada de arreglos florales y globos color blanco. La ceremonia fue íntima y tampoco se permitió el acceso. Al final, los globos blancos fueron soltados y volaron sobre la ciudad.

Alrededor de las 11:00 horas salió el cortejo de la profesora María rumbo al panteón Jardines Eternos, de Gómez Palacio. Allí llegó un grupo nutrido de personas. En el camposanto la familia restringió el acceso a los medios de comunicación.
 Te puede interesar: “Hoy va a ser el día”, dijo niño que disparó en escuela de Torreón y luego se suicidó

Allí, entre un aplauso sobrio, fue sepultada la maestra, considerada por muchos como una heroína. “Lo fue, fue héroe”, dijo una familiar que no quiso ser identificada.

La mujer pidió resaltar que “somos más las buenas personas”, en el sentido del valor que tuvo la maestra. “Fue una gran persona. Ella va a ser la diferencia”, añadió.

El mismo director del campus Bosque del Colegio Cervantes dijo una vez que la maestra fue una heroína.

Aunque no se ha revelado más información sobre el momento en el que el alumno de primaria disparó, todo parece indicar que la docente ayudó de alguna manera a que la tragedia no fuera mayor.

Tres heridos podrían ser dados de alta hoy

El director médico del Sanatorio Español, Guillermo Siller, informó que se tiene programado para hoy dar de alta a dos menores y al profesor de educación física, quienes resultaron lesionados por el tiroteo.

Siller explicó que se trata de pacientes que recibieron heridas superficiales, mientras que el maestro de educación física fue herido en el antebrazo izquierdo y tuvo fractura en el codo, por lo que esperan a que su herida se desinflame para seguir con una intervención y tratamiento.

Sobre los otros tres menores heridos, mencionó que no existe fecha para su alta, pero afirmó que están estables. En compañía del secretario de Salud, Roberto Bernal, añadió que uno de los menores ya salió de terapia intensiva y está fuera de peligro.

Ayuda sicológica

Eric Varela Cortes, subsecretario de Atención a Emergencias de la Secretaría de Salud estatal, informó que hasta el domingo habían sido atendidos 100 maestros y personal del Colegio Cervantes. Mencionó que se encuentran en una fase natural de luto, además de preocupados y tristes.

“Ellos van a seguir trabajando en el mismo lugar, tenemos que ayudar a que no exista una relación inmediata, tenemos que hacer una limpieza, ayudar a restablecer la salud”, dijo.
 Te puede interesar: Alegre y con una sonrisa, así recuerdan a maestra que murió en tiroteo en colegio de Torreón

Este lunes se tiene programado atender a los niños de primaria y a sus padres en la escuela, mientras que el martes tocará el turno a los alumnos de secundaria y a sus padres.

Varela Cortes ahondó en que se necesita que los padres ayuden a detectar alguna afectación e iniciar la terapia y medidas de contención. Agregó que se formaron cuatro equipos de trabajo con 21 especialistas para devolver la tranquilidad al colegio.

 
",Dan último adiós a maestra y a niño que disparó en colegio de Torreón
"
Un supuesto ladrón escogió mal a su víctima y terminó muerto a balazos al intentar despojar de su auto a un policía de inteligencia de la Ciudad de México la mañana del sábado, en la colonia Jardines de Morelos sección Lagos.
Te puede interesar: Policía enfrenta a 5 ladrones que robaban una casa en Álvaro Obregón
El agente salía rumbo a la CDMX a bordo de un Seat Ibiza rojo, pero un sujeto lo abordó y a punta de pistola le exigió las llaves del vehículo.
“El sujeto lo quiso despojar de su vehículo con pistola en mano, suscitándose un enfrentamiento”, detallan los informes policiales.
Cuando los uniformados municipales arribaron a la esquina de Lago Titicaca y Lago Fontana encontraron al policía capitalino herido en el brazo izquierdo y al supuesto delincuente —de unos 30 años— tirado inconsciente.
Los servicios de emergencia acudieron para trasladar al elemento y diagnosticaron ausencia de signos vitales en el agresor debido a dos disparos en el abdomen.

Aseguran armas

En el lugar, las autoridades encontraron una pistola Glock calibre 9 milímetros de la policía de la Ciudad de México y otra calibre 22 milímetros, presuntamente propiedad del difunto, así como varios casquillos percutidos.
Vecinos de la colonia Jardines de Morelos sección Lagos reconocieron al fallecido como un asaltante que operaba en esa zona, aunque no pudieron proporcionar su identidad, por lo que fue llevado a la morgue local en calidad de desconocido.
La Fiscalía General de Justicia mexiquense inició una indagatoria para esclarecer los hechos.
 
",Sujeto intenta robar auto a policía y termina muerto a balazos en Ecatepec
"
La Fiscalía General de Justicia de la Ciudad de México (FGJ-CDMX) activó la Alerta Amber para localizar a José Emiliano Terán Cazares, quien fue visto por última vez en la calle Oriente 249 en la colonia agrícola Oriental alcaldía Iztacalco.
Te puede interesar: Desaparecen 2 niños en la colonia Doctores; activan Alerta Amber
Como señas particulares, José Emiliano Terán Cazares, de 2 años de edad, vestía un suéter gris, pantalón azul marino y tenis rojos.
El menor tiene dos lunares, uno de color negro en el lado derecho de la espalda media, y otro en el muslo derecho de color claro.
El Centro de Apoyo a Personas Extraviadas y Ausentes (CAPEA) emitió el boletín de búsqueda, con la leyenda de urgente, donde se informa la desaparición de la menor.
Finalmente, la dependencia capitalina pidió a la población que cualquier información sobre el paradero de alguna de las menores sea comunicada al teléfono 5345 5067, con terminaciones 84 y 82, o acudir al CAPEA, ubicado en la calle Doctor Andrade 103, colonia Doctores, delegación Cuauhtémoc, además de consultar la página www.fgj.cdmx.gob.mx
 

Se activa #AlertaAmber para localizar a un menor de dos años de edad, de nombre José Emiliano Terán Cazares, fue visto por última vez el día 10 de enero del 2020 en la colonia Agrícola Oriental, alcaldía Iztacalco pic.twitter.com/FuRG8wCugQ
 — FGJ CDMX (@FiscaliaCDMX) January 12, 2020
 ",Activan Alerta Amber para localizar a José Emiliano Terán Cazares en Iztacalco
